,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.033835744857788085,0.008066058368846918,0.013385677337646484,0.0016929956785244106,3,1,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-112164.58756695053,-268896.7764812654,-191721.4223294797,-206474.05170832717,-141751.1866151633,-184201.6049402372,54253.57409237132,52
1,0.02550206184387207,0.0003467724788841384,0.011322879791259765,0.00021721953393281533,3,1,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-114139.26096151164,-267688.37236248166,-188765.79515969259,-206590.39943418052,-136148.0340447136,-182666.372392516,54218.4900390887,49
2,0.026943731307983398,0.0007938416945875784,0.012353181838989258,0.0006383824034618023,3,1,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-115564.28085974292,-280692.6492153718,-192383.47609694148,-195999.007471368,-141661.43792070352,-185260.17031282553,56624.70946707424,55
3,0.026772069931030273,0.0015429476797438858,0.012089157104492187,0.0010917375856183134,3,2,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-116815.19062069444,-256076.3249990866,-188780.21633576817,-218239.66818036741,-141978.17803066154,-184377.91563331563,50337.103616555534,53
4,0.02602362632751465,0.000593249204095467,0.011709928512573242,0.00024723420370686245,3,2,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-114060.7749756431,-230265.19152706693,-190468.12467722205,-206530.99564542418,-137176.5097492894,-175700.3193149291,43426.861013768255,41
5,0.02791132926940918,0.002229098998397305,0.012071323394775391,0.00043195147191920383,3,2,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-112206.57339341333,-267686.4059077646,-191721.42232947968,-204282.94499427688,-141687.44877891208,-183516.9590807693,53699.002237089044,51
6,0.02527461051940918,0.00031394201660072226,0.011226940155029296,0.0002258361089874146,3,4,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-112115.97489120587,-268127.0381114614,-188435.96712407857,-204973.6482638624,-137075.81563977056,-182145.68880607575,54569.09392856799,48
7,0.026980495452880858,0.0017661744302044221,0.01193251609802246,0.001075534910023326,3,4,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-114186.19570875757,-254804.556157157,-191815.39523949867,-179232.50883823758,-145088.93385739654,-177025.5179602095,47417.11903245961,42
8,0.025693941116333007,0.0007762559998892273,0.01131134033203125,0.0003879849174578671,3,4,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-113023.19433734672,-251685.12771542653,-190462.95271032333,-179079.17407731793,-141352.53730325404,-175120.5972287337,47137.15063094787,40
9,0.0250551700592041,9.663996465935083e-05,0.01160416603088379,0.0009088413236941052,3,8,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-111149.9353695217,-281853.51662344683,-191742.57667538137,-177098.58503239558,-138700.917539168,-180109.1062479827,58251.74890973679,46
