,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.049073410034179685,0.0026461089855829584,0.02151045799255371,0.0012496658694169864,4,2,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-296.80401213577306,-473.89932295124527,-417.42752135329476,-411.8849641720901,-364.541347208131,-392.91143356410686,59.26477858737261,23
18,0.04903955459594726,0.004706989110614367,0.022148656845092773,0.0033689111737228057,4,4,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-297.1416109912626,-510.0133120056843,-415.91412261254334,-417.34718227851795,-346.11593643209136,-397.30643286401994,72.2553483507958,30
19,0.05082554817199707,0.003640438438944208,0.020246553421020507,0.001433394193009216,4,4,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-295.1418809158185,-530.1833308185711,-437.2575352953253,-401.18229625013817,-349.43354571455575,-402.6397177988818,79.81800833184035,38
20,0.051716947555541994,0.003950212933175907,0.019370174407958983,0.0014365220840692344,4,4,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-302.9280753225414,-519.8733923129637,-422.90356033182167,-437.1444562155945,-346.96541600886513,-405.9629800383573,75.27516707793215,39
21,0.04821419715881348,0.002697206276820167,0.02312469482421875,0.004488568044986115,4,8,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-300.2574642791474,-528.1908352215139,-409.7478946528238,-391.9611807867431,-354.711877836321,-396.97385055530987,75.55969009746558,28
22,0.048938846588134764,0.0014470595364724722,0.021502590179443358,0.00303720151919676,4,8,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-294.77626920703796,-519.2730528973002,-403.4310260865196,-407.9840816239444,-349.6745783713968,-395.0278016372398,74.54213097050501,27
23,0.047033166885375975,0.0011546547304879615,0.021471738815307617,0.0020397295266215724,4,8,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-292.8868867339066,-515.9716853291085,-423.51532206295457,-404.8146051589393,-366.4278765243891,-400.7232751618596,72.97023155513833,34
24,0.055254459381103516,0.005132427104592321,0.021639919281005858,0.0032155095546200696,5,1,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-287.3445342047245,-459.852976081327,-471.02407947753005,-438.71271717161045,-331.2354842390454,-397.63395823484746,74.18530166474804,31
25,0.04711713790893555,0.0038460978035180574,0.023820161819458008,0.003981221695932401,5,1,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-281.0268442415595,-519.5146521504206,-447.7181159549735,-389.77720844541324,-374.8824805316105,-402.5838602647955,79.26839980991667,37
26,0.049842119216918945,0.004337671900448055,0.020289802551269533,0.0015811378149905276,5,1,8,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-265.81181805998756,-509.17955139695863,-467.1908891694714,-421.6932935792079,-345.7160760468299,-401.91832565049106,86.99448456373749,36
27,0.04717044830322266,0.0032491402796969524,0.025446033477783202,0.0028112910484833086,5,2,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-292.3355534095452,-504.00729531887083,-450.5854694796842,-421.85196983799216,-338.0207245103189,-401.3602025112823,76.5215377306593,35
